episode,reward,avg_reward
618,-517.0,-416.6801292407108
619,-485.0,-416.7903225806452
620,-483.0,-416.89694041867955
621,-419.0,-416.9003215434084
622,-421.0,-416.90690208667735
623,-441.0,-416.9455128205128
624,-374.0,-416.8768
625,-506.0,-417.01916932907346
626,-373.0,-416.94896331738437
627,-80.0,-416.4124203821656
628,-454.0,-416.47217806041334
629,-468.0,-416.55396825396826
630,-359.0,-416.46275752773374
631,-410.0,-416.4525316455696
632,-390.0,-416.41074249605055
633,-475.0,-416.5031545741325
634,-451.0,-416.5574803149606
635,-90.0,-416.0440251572327
636,-447.0,-416.0926216640502
637,-380.0,-416.0360501567398
638,-438.0,-416.07042253521126
639,-454.0,-416.1296875
640,-545.0,-416.33073322932916
641,140.0,-415.46417445482865
642,-493.0,-415.58475894245726
643,-496.0,-415.70962732919253
644,60.0,-414.9720930232558
645,-509.0,-415.11764705882354
646,-470.0,-415.20247295208657
647,-479.0,-415.3009259259259
648,-414.0,-415.2989214175655
649,-478.0,-415.3953846153846
650,-541.0,-415.5883256528418
651,-497.0,-415.7131901840491
652,-418.0,-415.7166921898928
653,-443.0,-415.7584097859327
654,-496.0,-415.88091603053437
655,-360.0,-415.7957317073171
656,20.0,-415.1324200913242
657,-475.0,-415.22340425531917
658,-423.0,-415.2352048558422
659,-416.0,-415.23636363636365
660,-420.0,-415.24357034795764
661,-552.0,-415.4501510574018
662,-226.0,-415.16440422322773
663,-500.0,-415.2921686746988
664,-465.0,-415.3669172932331
665,-468.0,-415.44594594594594
666,-423.0,-415.4572713643178
667,-424.0,-415.47005988023955
668,-504.0,-415.6023916292975
669,-526.0,-415.7671641791045
670,-383.0,-415.7183308494784
671,-512.0,-415.86160714285717
672,-453.0,-415.9167904903417
673,-490.0,-416.026706231454
674,90.0,-415.277037037037
675,-391.0,-415.24112426035504
676,-537.0,-415.4209748892171
677,-437.0,-415.452802359882
678,-432.0,-415.47717231222384
679,40.0,-414.8073529411765
680,-274.0,-414.60058737151246
681,-217.0,-414.3108504398827
682,-467.0,-414.3879941434846
683,-497.0,-414.50877192982455
684,-457.0,-414.570802919708
685,-431.0,-414.59475218658895
686,-476.0,-414.684133915575
687,-468.0,-414.76162790697674
688,-20.0,-414.188679245283
689,-474.0,-414.27536231884056
690,-432.0,-414.301013024602
691,-363.0,-414.22687861271675
692,-423.0,-414.23953823953826
693,-462.0,-414.30835734870317
694,-508.0,-414.4431654676259
695,200.0,-413.5603448275862
696,-396.0,-413.5351506456241
697,-441.0,-413.57449856733524
698,-441.0,-413.6137339055794
699,-485.0,-413.7157142857143
700,-413.0,-413.7146932952924
701,-483.0,-413.8133903133903
702,-396.0,-413.78805120910386
703,-504.0,-413.9161931818182
704,-479.0,-414.0085106382979
705,-453.0,-414.0637393767705
706,-503.0,-414.1895332390382
707,-420.0,-414.1977401129943
708,-501.0,-414.32016925246825
709,-340.0,-414.2154929577465
710,50.0,-413.56258790436004
711,-492.0,-413.6727528089888
712,-499.0,-413.7924263674614
713,-459.0,-413.8557422969188
714,-405.0,-413.8433566433566
715,160.0,-413.0418994413408
716,-496.0,-413.1576011157601
717,110.0,-412.42896935933146
718,100.0,-411.7162726008345
719,-353.0,-411.6347222222222
720,-542.0,-411.81553398058253
721,-498.0,-411.93490304709144
722,-529.0,-412.09681881051176
723,-484.0,-412.19613259668506
724,-491.0,-412.3048275862069
725,-398.0,-412.28512396694214
726,-412.0,-412.28473177441543
727,-221.0,-412.02197802197804
728,-470.0,-412.1015089163237
729,-490.0,-412.2082191780822
730,-405.0,-412.19835841313267
731,100.0,-411.49863387978144
732,120.0,-410.77353342428376
733,-485.0,-410.87465940054494
734,-469.0,-410.95374149659864
735,-461.0,-411.0217391304348
736,-450.0,-411.07462686567163
737,-395.0,-411.0528455284553
738,-426.0,-411.0730717185386
739,-413.0,-411.07567567567565
740,-385.0,-411.0404858299595
741,180.0,-410.24393530997304
742,-496.0,-410.3593539703903
743,-512.0,-410.4959677419355
744,-446.0,-410.5436241610738
745,-484.0,-410.642091152815
746,-462.0,-410.71084337349396
747,-421.0,-410.7245989304813
748,-497.0,-410.83978638184243
749,-200.0,-410.5586666666667
750,-448.0,-410.60852197070574
751,-421.0,-410.6223404255319
752,160.0,-409.8645418326693
753,-359.0,-409.7970822281167
754,-373.0,-409.74834437086093
755,-433.0,-409.7791005291005
756,-435.0,-409.8124174372523
757,60.0,-409.1926121372032
758,-517.0,-409.33465085639
759,-474.0,-409.41973684210524
760,-460.0,-409.4862023653088
761,-493.0,-409.59580052493436
762,-372.0,-409.5465268676278
763,-472.0,-409.6282722513089
764,-366.0,-409.57124183006533
765,10.0,-409.02349869451695
766,-384.0,-408.99087353324643
767,-510.0,-409.1223958333333
768,-524.0,-409.27178153446033
769,-481.0,-409.3649350649351
770,-498.0,-409.4798962386511
771,-458.0,-409.54274611398966
772,-429.0,-409.5679172056921
773,-535.0,-409.7299741602067
774,300.0,-408.8141935483871
775,-427.0,-408.83762886597935
776,-10.0,-408.3243243243243
777,-554.0,-408.5115681233933
778,-436.0,-408.5468549422336
779,-446.0,-408.5948717948718
780,-481.0,-408.6875800256082
781,-486.0,-408.78644501278774
782,-507.0,-408.911877394636
783,-379.0,-408.8737244897959
784,-450.0,-408.92611464968155
785,-455.0,-408.98473282442745
786,-431.0,-409.0127064803049
787,-461.0,-409.0786802030457
788,-558.0,-409.26742712294043
789,170.0,-408.53417721518986
790,-499.0,-408.6485461441214
791,-420.0,-408.6628787878788
792,-504.0,-408.7831021437579
793,-411.0,-408.78589420654913
794,-500.0,-408.9006289308176
795,-503.0,-409.01884422110555
796,-478.0,-409.10539523212043
797,-451.0,-409.1578947368421
798,-514.0,-409.28911138923655
799,-410.0,-409.29
800,-502.0,-409.40574282147315
801,-399.0,-409.3927680798005
802,-422.0,-409.4084682440847
803,-469.0,-409.48258706467664
804,-495.0,-409.5888198757764
805,-437.0,-409.6228287841191
806,-497.0,-409.731102850062
807,-429.0,-409.7549504950495
808,140.0,-409.0754017305315
809,-491.0,-409.17654320987657
810,-439.0,-409.213316892725
811,-445.0,-409.2573891625616
812,-370.0,-409.2091020910209
813,-204.0,-408.95700245700243
814,-508.0,-409.078527607362
815,-443.0,-409.1200980392157
816,-448.0,-409.16768665850674
817,-455.0,-409.2237163814181
818,-501.0,-409.33577533577534
819,-461.0,-409.39878048780486
820,-441.0,-409.43727161997566
821,180.0,-408.72019464720194
822,-406.0,-408.7168894289186
823,-448.0,-408.7645631067961
824,-491.0,-408.86424242424243
825,-392.0,-408.8438256658596
826,-431.0,-408.87061668681986
827,-438.0,-408.90579710144925
828,-392.0,-408.8854041013269
829,-529.0,-409.0301204819277
830,-388.0,-409.0048134777377
831,-350.0,-408.9338942307692
832,-546.0,-409.0984393757503
833,130.0,-408.45203836930455
834,100.0,-407.84311377245507
835,-390.0,-407.8217703349282
836,-493.0,-407.9235364396655
837,-501.0,-408.0346062052506
838,-371.0,-407.99046483909416
839,-511.0,-408.11309523809524
840,-446.0,-408.15814506539834
841,-474.0,-408.2363420427553
842,80.0,-407.65717674970347
843,-451.0,-407.7085308056872
844,-493.0,-407.8094674556213
845,-456.0,-407.8664302600473
846,-431.0,-407.89374262101535
847,-502.0,-408.00471698113205
848,-486.0,-408.09658421672555
849,-403.0,-408.0905882352941
850,-477.0,-408.171562867215
851,-426.0,-408.1924882629108
852,-396.0,-408.17819460726844
853,-390.0,-408.1569086651054
854,-539.0,-408.3099415204678
855,-345.0,-408.2359813084112
856,-425.0,-408.25554259043173
857,-470.0,-408.32750582750583
858,-392.0,-408.30849825378345
859,-405.0,-408.3046511627907
860,-465.0,-408.3704994192799
861,-416.0,-408.37935034802786
862,-419.0,-408.39165701042873
863,40.0,-407.87268518518516
864,-452.0,-407.9236994219653
865,-401.0,-407.9157043879908
866,-364.0,-407.8650519031142
867,530.0,-406.78456221198155
868,-397.0,-406.77330264672037
869,-503.0,-406.883908045977
870,-474.0,-406.9609644087256
871,10.0,-406.48279816513764
872,-411.0,-406.48797250859104
873,-494.0,-406.5881006864989
874,-442.0,-406.62857142857143
875,-358.0,-406.5730593607306
876,-473.0,-406.6488027366021
877,-499.0,-406.753986332574
878,-467.0,-406.82252559726965
879,-491.0,-406.91818181818184
880,-430.0,-406.94438138479
881,-487.0,-407.03514739229024
882,-426.0,-407.05662514156285
883,-458.0,-407.11425339366514
884,-508.0,-407.22824858757065
885,-408.0,-407.2291196388262
886,-485.0,-407.31679819616687
887,-469.0,-407.38626126126127
