episode,avg_reward,static_rewards
739,-456.9837837837838,-489.0
740,-456.90823211875846,-401.0
741,-456.9231805929919,-468.0
742,-456.9152086137281,-451.0
743,-456.8266129032258,-391.0
744,-456.75436241610737,-403.0
745,-456.82573726541557,-510.0
746,-456.73493975903614,-389.0
747,-456.79411764705884,-501.0
748,-456.77303070761013,-441.0
749,-456.692,-396.0
750,-456.60186418109186,-389.0
751,-456.5970744680851,-453.0
752,-456.64940239043824,-496.0
753,-456.5079575596817,-350.0
754,-456.4066225165563,-380.0
755,-456.2989417989418,-375.0
756,-456.2787318361955,-441.0
757,-456.33509234828495,-499.0
758,-456.3148880105402,-441.0
759,-456.26973684210526,-422.0
760,-456.26544021024966,-453.0
761,-456.1942257217848,-402.0
762,-456.1913499344692,-454.0
763,-456.1950261780105,-459.0
764,-456.1111111111111,-392.0
765,-456.2180156657964,-538.0
766,-456.1968709256845,-440.0
767,-456.2565104166667,-502.0
768,-456.23797139141743,-442.0
769,-456.11948051948053,-365.0
770,-456.11154345006486,-450.0
771,-456.15284974093265,-488.0
772,-456.124191461837,-434.0
773,-456.1382428940569,-467.0
774,-455.8683870967742,-247.0
775,-455.8131443298969,-413.0
776,-455.81081081081084,-454.0
777,-455.8688946015424,-501.0
778,-455.8408215661104,-434.0
779,-455.83589743589744,-452.0
780,-455.8143405889885,-439.0
781,-455.8312020460358,-469.0
782,-455.7011494252874,-354.0
783,-455.62882653061223,-399.0
784,-455.65859872611463,-479.0
785,-455.63231552162847,-435.0
786,-455.60991105463785,-438.0
787,-455.6421319796954,-481.0
788,-455.6489226869455,-461.0
789,-455.62151898734174,-434.0
790,-455.53603034134005,-388.0
791,-455.19444444444446,-185.0
792,-455.16771752837326,-434.0
793,-455.19647355163727,-478.0
794,-455.211320754717,-467.0
795,-455.24748743718595,-484.0
796,-455.2509410288582,-458.0
797,-455.2456140350877,-451.0
798,-455.1576971214017,-385.0
799,-455.2075,-495.0
800,-455.23595505617976,-478.0
801,-455.2705735660848,-483.0
802,-455.17808219178085,-381.0
803,-455.27487562189054,-533.0
804,-455.2670807453416,-449.0
